"--Select--","--Выбрать--"
"Add Selection","Добавить набор"
"As low as","Минимальная цена"
"Bundle Product","Добавить в пакет"
"Buy %1$s with %2$s discount each","Купить %1$s со %2$s скидкой каждый"
"Choose a selection...","Выбрать набор..."
"Default","По умолчанию"
"Default Title","Заголовок по умолчанию"
"Dynamic","Динамичный"
"Percent Discount","Скидка в процентах"
"Please enter search conditions to view products.","Введите критерии поиска для товара."
"Please select options for product.","Введите параметры для товара."
"Please specify product option(s)","Укажите параметры товара"
"Price Range","Диапазон цен"
"Price as configured","Итоговая цена"
"Price","Цена"
"Qty:","Кол-во:"
"Required options not selected.","Обязательные параметры не выбраны."
"Selected required options not available.","Выбранные параметры недоступны."
"Separately","Отдельно, вразброс"
"Ship Bundle Items","Доставка набора"
"Store View Title","Название в магазине"
"There is no defined renderer for ""%s"" option type","Для типа параметров ""%s"" нет отображения"
"This product is also part of bundle(s)","Товар входит в набор(ы)"
"Together","Вместе, одновременно"
"User Defined Qty","Кол-во, определённое покупателем"

