"%s and greater","%s и более"
"Advanced Search","Расширенный поиск"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Сгенерированная карта сайта"
"Catalog Advanced Search","Расширенный поиск по каталогу"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go","Go"
"Find","Найти"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Minimum Search query length is %s.","Введите строку для поиска длиной %s и более."
"Minimum Search query length is 3","Длина запроса должна состоять из более 3-х символов."
"Modify your search","Modify your search"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Популярные поисковые запросы"
"Popular search terms","Популярные поисковые запросы"
"Relevance","Relevance"
"Required Fields","Обязательные поля"
"Search Settings","Настройки поиска"
"Search Site","Поиск по сайту"
"Search Terms","Поисковые запросы"
"Search Type","Search Type"
"Search entire store here...","Введите фразу для поиска по сайту..."
"Search results for '%s'","Результаты поиска по запросу: '%s'"
"Search results for: '%s'","Результаты поиска по запросу: '%s'"
"There are no search terms available.","Поисковые запросы не доступны."
"You have to specify at least one search term","Вы должны указать по меньшей мере одно поисковое выражение"
"Your search returns no results.","Нет результатов по вашему запросу"
"up to %s","до %s"
