"(eg: domain.com/identifier)","(например: domain.com/идентификатор)"
"Add New Block","Добавить новый блок"
"Add New Page","Добавить новую страницу"
"All countries","Все страны"
"Block Information","Информация о блоке"
"Block Title","Заголовок блока"
"Block was successfully deleted","Блок был удален"
"Block was successfully saved","Block была успешно сохранен"
"CMS","CMS"
"CMS Home Page","CMS главная страница"
"CMS No Route Page","CMS ошибочная страница (404)"
"Content","Содержание"
"Custom Theme","Другая тема"
"Custom Theme From","Другая тема от"
"Custom Theme To","Другая тема до"
"Customer Tax Class Information","Информация о классе налога для пользователя"
"Date Created","Дата создания"
"Delete Block","Удалить блок"
"Delete Page","Удалить страницу"
"Description","Описание"
"Edit Block","Изменить блок"
"Edit Block '%s'","Изменить блок '%s'"
"Edit Page","Редактирование страницы"
"Edit Page '%s'","Редактирование страницы '%s'"
"Identifier","Идентификатор"
"Keywords","Ключевые слова"
"Last Modified","Последнее изменение"
"Layout","Макет"
"Layout Update XML","XML обновления для макета"
"Manage Pages","Управление страницами"
"Meta Data","Метаданные"
"Meta Description","Мета описание"
"Meta Keywords","Мета ключевые слова"
"New Block","Новый блок"
"New Page","Новая страница"
"Page Identifier cannot consist only of numbers.","Идентификатор страницы не может состоять только из цифр."
"Page Identifier for specified store already exist.","Идентификатор страницы для указанного магазина уже существует."
"Page Information","Информация о странице"
"Page Status","Статус страницы"
"Page Title","Заголовок страницы"
"Page was successfully deleted","Страница была удалена"
"Page was successfully saved","Страница была успешно сохранена"
"Poll Manager","Менеджер опросов"
"Product Tax Class Information","Информация налогового класса продукта"
"SEF URL Identifier","SEF URL идентификатор"
"Save Block","Сохранить блок"
"Save Page","Сохранить страницу"
"Show breadcrumbs for CMS pages","Показать путь для CMS страниц"
"Static Blocks","Статические блоки"
"Such a block identifier in selected store already exist.","Такой идентификатор блока уже существует в данном магазине."
"The page you are trying to save no longer exists","Страница, которую вы пытаетесь сохранить, больше не существует"
"This block no longer exists","Этот блок больше не существует"
"This page no longer exists","Эта страница больше не существует"
"Unable to find a block to delete","Не удается найти блок для удаления"
"Unable to find a page to delete","Невозможно найти страницу для удаления"
