"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento демонстрационный магазин. Все права защищены."
"(ver. %s)","(вер. %s)"
"Click <a href=""%s"">here</a> if nothing has happened","Нажмите <a href=""%s"">сюда</a>, если ничего не произошло"
"Default Description","Описание по умолчанию"
"Default welcome msg!","Стандартное приветствие!"
"Help Us to Keep Magento Healthy","Помогите сделать Magento еще лучше - сообщайте о всех ошибках"
"Interface Language","Язык интерфейса"
"Next Page","Следующая страница"
"Previous Page","Предыдущая страница"
"Redirecting...","Перенаправление..."
"Report All Bugs","Сообщайте обо всех ошибках"
"Select Store","Выберите магазин"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","Перейти к основному содержимому"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Это демо-магазин. Все заказы через этот магазин не будут обрабатываться"
"Welcome, %s!","Добро пожаловать, %s!"
"You're currently on:","Вы в настоящее время:"
"Your Language","Ваш язык"
"Your Language:","Ваш язык:"
