"<label>Make Check payable to:</label> %s","<label>Сделать чек оплачиваемым для:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Сделать чек оплачиваемым для</label> %s"
"Can not configuration for payment method with code: %s","НЕ могу найти конфигурацию для метода оплаты с кодом: %s"
"Can not retrieve payment info model object.","Не могу получить платежную модель информации для объекта"
"Can not retrieve payment method instance","Не могу получить реализацию метода оплаты"
"Can not retrieve payment method model object.","Не удается найти способ оплаты модели объекта."
"Check / Money order","Оплата чека"
"Credit Card Number: %s","Номер кредитной карты: %s"
"Make Check payable to","Сделать чек оплачиваемым для"
"Make Check payable to: %s","Оплата при получении: %s"
"Payment Methods","Способы оплаты"
"Payment Methods Section","Payment Methods Section"
"Purchase Order Number","Оплатить номер заказа"
"Purchase Order Number: %s","Оплатить номер заказа: %s"
"Purchase order","Оплата заказа"
"Saved CC","Кредитной картой (сохранение информации)"
"Send Check to","Отправить чек к"
"Send Check to:","Отправить чек к:"
"Zero Subtotal Checkout","Без указания оплаты"
