"%d Review(s)","%d отзыв(ов)"
"%s Review(s)","%s отзыв(ов)"
"(Posted on %s)","(добавлено на %s)"
"Add New Review","Добавить новый отзыв"
"Add Your Review","Добавьте отзыв"
"Administrator","Администратор"
"All Reviews","Все отзывы"
"All reviews of customer `%s`","Все отзывы покупателя `%s`"
"Allow guests to write reviews","Разрешить гостям писать отзывы"
"Average Customer Rating","Средний рейтинг пользователей"
"Average Customer Rating:","Средний рейтинг пользователей"
"Back to Main Product Info","Вернуться к полному описанию"
"Back to My Reviews","Вернуться к моим отзывам"
"Back to Product Reviews","Вернуться к отзывам товара"
"Created On","Создано"
"Customer Reviews","Отзывы пользователей"
"Delete Review","Удалить отзыв"
"Detailed Rating","Подробная рейтинг"
"Edit Review '%s'","Изменить отзыв '%s'"
"How do you rate this product?","Как вы оцениваете этот продукт?"
"My Product Reviews","Мои отзывы о товарах"
"My Recent Reviews","Моя последние отзывы"
"Name In Store","Название в магазине"
"New Review","Новый отзыв"
"Nickname","Никнейм"
"Pending Reviews","Отзывы ожидающие подтверждения"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","Пожалуйста, выберите товар"
"Please select one of each of the ratings above","Пожалуйста, выберите один вариант для каждой оценки выше"
"Posted By","Создано"
"Product Rating","Рейтинг товара"
"Product Rating:","Рейтинг товара:"
"Product Review (submitted on %s):","Отзывы о товаре (%s):"
"Rating:","Рейтинг:"
"Review Details","Подробности отзыва"
"Review by %s","Отзыв пользователя %s"
"Review(s): %d","Отзывов: %d"
"Reviews and Ratings","Отзывы и рейтинги"
"Save Review","Сохранить отзыв"
"Submit Review","Добавить отзыв"
"Summary Rating","Общий рейтинг"
"Summary of Review","Итог отзыва"
"Summary of Your Review","Оценка вцелом"
"Summary of review","Оценка вцелом"
"Unable to post review. Please, try again later.","Не удается разместить отзыв. Пожалуйста, попробуйте еще раз позднее."
"Update status","Обновить состояние"
"View All Reviews","Cмотреть все отзывы"
"View Details","Подробнее"
"Write Your Own Review","Напишите ваш собственный отзыв"
"You have submitted no reviews.","У вас нет отправленных отзывов"
"You're reviewing: %s","Ваши отзывы: %s"
"Your Rating:","Ваша рейтинг:"
"Your Review (submitted on %s):","Ваш отзыв (отправлен %s):"
"Your review has been accepted for moderation","Ваш отзыв был принят для модерации"
