"Apply the rule only if the following conditions are met (leave blank for all products)","Применить правило, только если выполняются следующие условия (оставьте пустым для всех товаров)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Применить правило только для товаров в корзине, удовлетворяющим следующим условиям (оставьте пустым для всех товаров)"
"Apply the rule to cart items matching the following conditions","Применить правило к товарам в корзине, соответствующим следующим условиям"
"Apply to","Применить к"
"Buy X get Y free (discount amount is Y)","Купи X получи Y бесплатно (сумма скидки Y)"
"By Fixed Amount","На фиксированную сумму"
"By Fixed value","К фиксированной величине"
"By Percentage","В процентной величине"
"By Percentage of the original price","На процент от первоначальной цены"
"Cart Attribute","Атрибут корзины"
"Conditions combination","Комбинация условий"
"Coupon code","Код сертификата"
"Discount Qty Step (Buy X)","Шаг количества для скидки (купить X)"
"Discount amount","Размер скидки"
"Fixed amount discount","Фиксированная сумма скидки"
"Fixed amount discount for whole cart","Фиксированная сумма скидки на всю корзину"
"For matching items only","Только для соответствующих товаров"
"For shipment with matching items","Для доставки с соответствующими товарами"
"Free shipping","Free shipping"
"Maximum Qty Discount is Applied to","Максимальное количество скидки применяется к"
"Percent of product price discount","Скидка в процентах от цены продукта"
"Price in cart","Цена в корзине"
"Product attribute combination","Комбинация атрибутов продукта"
"Products subselection","Products subselection"
"Public In RSS Feed","Опубликовать в RSS потоке"
"Quantity in cart","Количество в корзине"
"Row total in cart","Количество позиций в корзине"
"Shipping Country","Страна доставки"
"Shipping Postcode","Индекс доставки"
"Shipping Region","Регион доставки"
"Shipping State/Province","Штат/район доставки"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Shopping Cart Price Rules","Ценовые правила для корзины"
"Special price","Ваша цена"
"To Fixed Amount","К фиксированной сумме"
"To Fixed Value","К фиксированному значению"
"To Percentage","К процентному значению"
"To Percentage of the original price","К проценту от первоначальной цены"
"Total Items Quantity","Общее количество товаров"
"Total Weight","Общий вес"
"Update prices using the following information","Обновить цены, используя следующую информацию"
"Update the Product","Обновить товар"
"Uses per coupon","Изспользований с сертификатом"
"Uses per customer","Использований пользователями"
