"# of Uses","# использований"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Add New Tag","Добавить новую метку"
"Add Tags","Добавить метки"
"Add Your Tags:","Добавить ваши метки:"
"Are you sure that you want to delete this tag?","Вы уверены, что вы хотите удалить эту метку?"
"Are you sure you want to delete this tag?","Вы уверены, что хотите удалить эту метку?"
"Back to Tags List","Back to Tags List"
"Back to view Tag","Back to view Tag"
"Click on a tag to view your corresponding products.","Нажмите на метку для просмотра соответствующих продуктов."
"Customer Since","Пользователь с"
"Customers Tagged '%s'","Отмечено пользователями как '%s'"
"Delete Tag","Удалить метку"
"Edit Tag","Изменить метку"
"Edit Tag '%s'","Изменить метку '%s'"
"My Recent Tags","Мои последние метки"
"My Tags","Мои метки"
"No matches found.","Соответствий не найдено"
"Other people marked this product with these tags:","Другие пользователи отметели этот продукт с этими метками:"
"Popular","Популярные"
"Product SKU","SKU товара"
"Products Tagged with '%s'","Товары с меткой '%s'"
"Products tagged with '%s'","Товары с меткой '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Продукты с меткой '%s'(<a href='%s'>RSS</a>)"
"Save Tag","Сохранить метку"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Результаты поиска для '%s' (<a href='%s'>RSS</a>)"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","Tag Information"
"Tag Name: %s","Название метки: %s"
"Tag can\'t be empty.","Tag can\'t be empty."
"Tagged in","Отмечено в"
"Tags Aren't Available","Метки недоступны"
"Tags:","Метки:"
"Thank you. Your tag has been accepted for moderation.","Спасибо. Ваша метка была принята для модерации"
"Unable to find any products tagged with '%s' in the current store","Не удается найти товары отмеченные '%s' для текущего магазина"
"Unable to remove tag. Please, try again later.","Не удается удалить метку. Пожалуйста, попробуйте еще раз позднее."
"Unable to save tag(s)","Не удается сохранить метку(и)"
"Unable to save your tag. Please, try again later.","Не удалось сохранить вашу метку. Пожалуйста, попробуйте еще раз позднее."
"Use spaces to separate tags. Use single quotes (') for phrases.","Используйте пробел для разделения меток или одиночные кавычки (') для фраз"
"Uses","Использований"
"View All Tags","Все метки"
"View Customers","Cмотреть пользователей"
"View Products","View products"
"You have not tagged any products yet.","Вы еще не отметили ниодного товара"
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
